,Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
0,1,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,23 Feb 2021
1,2,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,22 Feb 2021
2,3,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,20 Feb 2021
3,4,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,19 Feb 2021
4,5,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,18 Feb 2021
5,6,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,17 Feb 2021
6,7,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,15 Feb 2021
7,8,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,12 Feb 2021
8,9,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,11 Feb 2021
9,10,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,10 Feb 2021
10,11,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,09 Feb 2021
11,12,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,08 Feb 2021
12,13,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,06 Feb 2021
13,14,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,05 Feb 2021
14,15,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,04 Feb 2021
15,16,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,01 Feb 2021
16,17,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,30 Jan 2021
17,18,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,29 Jan 2021
18,19,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,28 Jan 2021
19,20,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,27 Jan 2021
20,21,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,25 Jan 2021
21,22,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,22 Jan 2021
22,23,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,21 Jan 2021
23,24,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,20 Jan 2021
24,25,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,19 Jan 2021
25,26,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1800,1650,18 Jan 2021
26,27,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1800,1650,16 Jan 2021
27,28,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1800,1650,15 Jan 2021
28,29,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1800,1650,13 Jan 2021
29,30,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,12 Jan 2021
30,31,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,11 Jan 2021
31,32,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,08 Jan 2021
32,33,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,07 Jan 2021
33,34,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,06 Jan 2021
34,35,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,05 Jan 2021
35,36,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,04 Jan 2021
36,37,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,02 Jan 2021
37,38,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,01 Jan 2021
38,39,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,31 Dec 2020
39,40,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,30 Dec 2020
40,41,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,29 Dec 2020
41,42,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,28 Dec 2020
42,43,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,24 Dec 2020
43,44,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,23 Dec 2020
44,45,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,22 Dec 2020
45,46,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,21 Dec 2020
46,47,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,19 Dec 2020
47,48,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,18 Dec 2020
48,49,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,17 Dec 2020
49,50,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,16 Dec 2020
50,51,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,15 Dec 2020
51,52,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,14 Dec 2020
52,53,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,11 Dec 2020
53,54,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,10 Dec 2020
54,55,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,09 Dec 2020
55,56,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,08 Dec 2020
56,57,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,07 Dec 2020
57,58,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,05 Dec 2020
58,59,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,04 Dec 2020
59,60,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,02 Dec 2020
60,61,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,01 Dec 2020
61,62,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,30 Nov 2020
62,63,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,27 Nov 2020
63,64,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,26 Nov 2020
64,65,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,25 Nov 2020
65,66,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,24 Nov 2020
66,67,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,23 Nov 2020
67,68,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,21 Nov 2020
68,69,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,20 Nov 2020
69,70,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,19 Nov 2020
70,71,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,18 Nov 2020
71,72,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,17 Nov 2020
72,73,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1600,1800,1700,13 Nov 2020
73,74,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1800,1650,12 Nov 2020
74,75,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1800,1650,11 Nov 2020
75,76,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1800,1650,10 Nov 2020
76,77,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1800,1650,09 Nov 2020
77,78,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1800,1650,07 Nov 2020
78,79,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1800,1650,06 Nov 2020
79,80,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1800,1650,05 Nov 2020
80,81,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,04 Nov 2020
81,82,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1500,1700,1600,03 Nov 2020
